Title,Link,Description,Publication Date
"Mob demanding razing of 'illegal' Shimla mosque clashes with cops, 10 hurt",https://timesofindia.indiatimes.com/city/shimla/mob-demanding-razing-of-illegal-shimla-mosque-clashes-with-cops-10-hurt/articleshow/113271179.cms,Protesters in Shimla's Sanjauli area defied prohibitory orders and clashed with police over an allegedly illegal mosque construction. The confrontation led to injuries and detentions. Himachal Pradesh's public works minister stated that the mosque would be demolished if found illegal by the Shimla municipal commissioner's court. The case has been pending for ten years.,2024-09-12
"Omar fighting for chair, I’m fighting for people of Kashmir: Er Rashid",https://timesofindia.indiatimes.com/india/omar-fighting-for-chair-im-fighting-for-people-of-kashmir-says-engineer-rashid-after-walking-out-of-tihar/articleshow/113270361.cms,"Baramulla MP Sheikh Abdul Rashid, also known as Engineer Rashid, has been released from Tihar jail on interim bail to campaign for the J&amp;K assembly elections. Detained since 2019 under UAPA, he criticized PM Modi's 'naya Kashmir' narrative and vowed to fight for a peaceful resolution of the Kashmir issue. His release has unsettled mainstream parties in Kashmir.",2024-09-12
"Biryani row: Administration moves boy to new school, to waive Rs 37k in fees",https://timesofindia.indiatimes.com/city/meerut/biryani-row-administration-moves-boy-to-new-school-to-waive-rs-37k-in-fees/articleshow/113270716.cms,,2024-09-12
BJP slams Rahul Gandhi after Pannun backs his remarks on Sikhs,https://timesofindia.indiatimes.com/india/bjp-slams-rahul-gandhi-after-pannun-backs-his-remarks-on-sikhs/articleshow/113274019.cms,,2024-09-12
"Govt plans to build 62,500km of rural roads by 2029",https://timesofindia.indiatimes.com/india/govt-plans-to-build-62500km-of-rural-roads-by-2029/articleshow/113274423.cms,,2024-09-12
Impasse on as Bengal junior doctors junk 2nd govt invite for talks,https://timesofindia.indiatimes.com/city/kolkata/impasse-on-as-bengal-junior-doctors-junk-second-govt-invite-for-talks-set-fresh-terms/articleshow/113271657.cms,,2024-09-12
16 fall ill during fitness test for Jharkhand excise constable jobs,https://timesofindia.indiatimes.com/city/ranchi/16-fall-ill-during-fitness-test-for-jharkhand-excise-constable-jobs/articleshow/113270715.cms,,2024-09-12
2013 Patna serial blasts: HC cuts death to 30 years in jail for 4,https://timesofindia.indiatimes.com/city/patna/2013-patna-serial-blasts-hc-cuts-death-to-30-years-in-jail-for-4/articleshow/113270706.cms,,2024-09-12
"Madrassa education against RTE, NCPCR tells SC",https://timesofindia.indiatimes.com/india/madrassa-education-against-rte-ncpcr-tells-sc/articleshow/113271175.cms,,2024-09-12
Eye drop licence suspended over safety concern,https://timesofindia.indiatimes.com/india/eye-drop-licence-suspended-over-safety-concern/articleshow/113271649.cms,,2024-09-12
SP shifted after Hindu outfits demand action over Ratlam row,https://timesofindia.indiatimes.com/city/indore/sp-shifted-after-hindu-outfits-demand-action-over-ratlam-row/articleshow/113271168.cms,,2024-09-12
Tata Steel to get £500 million from UK for plant in Wales,https://timesofindia.indiatimes.com/business/india-business/tata-steel-to-get-500-million-from-uk-for-plant-in-wales/articleshow/113270564.cms,,2024-09-12
"Harris emerges unscathed from debate, dancing around her flip-flops",https://timesofindia.indiatimes.com/world/us/kamala-harris-emerges-unscathed-from-debate-dancing-around-her-flip-flops/articleshow/113263564.cms,Kamala Harris and Donald Trump engaged in a heated presidential debate where Harris criticized Trump's previous administration while deflecting questions about her own record. Trump attacked her on issues like inflation and immigration but appeared frustrated by the end. Harris's confident performance led to calls for another debate.,2024-09-11
"200 deaths/day, $1.5tn per year: How China is destroying US with fentanyl",https://timesofindia.indiatimes.com/world/us/200-deaths/day-1-5-trillion-per-year-how-china-is-destroying-us-families-with-deadly-drug-fentanyl/articleshow/113255261.cms,"The United States is in the grip of a deadly drug epidemic caused by fentanyl and other opioids, resulting in over 1,500 deaths each week. Fentanyl, mainly sourced from China and Mexico, exacerbates the crisis. This issue has profound economic and social repercussions, necessitating stronger measures against Chinese and Mexican involvement.",2024-09-11
"Operation Khandara: 2 terrorists killed in J&K’s Kathua, encounter continues",https://timesofindia.indiatimes.com/city/jammu/operation-khandara-2-terrorists-killed-in-jks-kathua-encounter-continues/articleshow/113270304.cms,"Two terrorists were killed during an anti-terror operation at Khandara Top in Jammu and Kashmir’s Kathua district. The joint effort by the Army’s Rising Star Corps and J&amp;K Police followed intelligence reports. Earlier, a BSF trooper was injured due to a ceasefire violation by Pakistan along the international border in Jammu’s Akhnoor sector.",2024-09-12
US action on China hits container supply,https://timesofindia.indiatimes.com/business/india-business/us-action-on-china-hits-container-supply/articleshow/113270447.cms,,2024-09-12
Hindenburg points to Sebi chief's silence on charges,https://timesofindia.indiatimes.com/business/india-business/hindenburg-points-to-sebi-chiefs-silence-on-charges/articleshow/113270566.cms,,2024-09-12
"Govt plans new chip package, may top first's size of Rs 76k crore",https://timesofindia.indiatimes.com/business/india-business/govt-plans-new-chip-package-may-top-firsts-size-of-rs-76k-crore/articleshow/113270421.cms,,2024-09-12
Watch: Biden wears 'Trump 2024' hat during 9/11 memorial event,https://timesofindia.indiatimes.com/world/us/watch-biden-wears-trump-2024-hat-during-9/11-memorial-event/articleshow/113270410.cms,"At the 9/11 memorial event in Shanksville, Pennsylvania, President Joe Biden was seen wearing a Trump hat. This occurred after he and Vice President Kamala Harris attended a commemoration at Ground Zero. The incident came amid political tension between Biden and former President Donald Trump.",2024-09-12
"Not Dhoni and Rohit, Gambhir's pick for 'Shahenshah' is...",https://timesofindia.indiatimes.com/sports/cricket/news/not-ms-dhoni-and-rohit-sharma-gautam-gambhir-calls-this-indian-player-shahenshah-watch/articleshow/113269009.cms,"At the Delhi Premier League T20, Team India head coach Gautam Gambhir assigned Bollywood movie titles to cricketers like Virat Kohli ('Shahenshah') and Yuvraj Singh ('Badshah'). He also highlighted his positive relationship with Kohli. As India prepares for their Test series against Bangladesh, Kohli's return to the squad is highly anticipated.",2024-09-11
The Multan Mystery: When Dravid left Tendulkar stranded at 194*,https://timesofindia.indiatimes.com/sports/cricket/news/the-multan-mystery-when-rahul-dravid-left-sachin-tendulkar-stranded-at-194/articleshow/113268226.cms,"In a 2004 Test match against Pakistan in Multan, Rahul Dravid declared India's innings while Sachin Tendulkar was at 194 not out. The decision aimed to capitalize on the deteriorating pitch but left Tendulkar visibly disappointed. Despite the controversy, India won by an innings and 52 runs, marking their first-ever Test victory on Pakistani soil.",2024-09-11
Watch: PM Modi participates in Ganpati Puja at CJI's house,https://timesofindia.indiatimes.com/india/pm-modi-participates-in-ganpati-puja-at-cji-chandrachuds-residence/articleshow/113268175.cms,,2024-09-11
Top 10 things you need to know about Harris vs Trump debate,https://timesofindia.indiatimes.com/world/us/top-10-things-you-need-to-know-about-harris-vs-trump-debate/articleshow/113268931.cms,"Kamala Harris performed strongly in her debate with Donald Trump, receiving endorsements from Taylor Swift and gaining trader confidence. Republicans accused the moderators of bias against Trump. Trump's casual dismissal of Swift's support and the debate's attention on Chinese social media underscored its wide-reaching impact.",2024-09-11
MAGA's wild debate theories: Kamala's 'earphones' to 'witchcraft',https://timesofindia.indiatimes.com/world/us/from-kamala-wearing-earphones-to-witchcraft-maga-spurs-wild-conspiracy-theories-about-rigged-debate/articleshow/113268516.cms,"In the wake of a fiery debate between Donald Trump and Kamala Harris, MAGA supporters have propagated several conspiracy theories. They allege that Harris used wireless earphones disguised as earrings and engaged in supernatural manipulation. Despite fact-checkers debunking these claims, they continue to gain traction on social media.",2024-09-11
"'On basis of fairness, equality': Yunus says B'desh seeks good ties with India",https://timesofindia.indiatimes.com/world/south-asia/on-basis-of-fairness-and-equality-bangladesh-seeks-good-relations-with-india-says-yunus/articleshow/113266656.cms,"Bangladesh's chief adviser Muhammad Yunus has called for fair relations with India and neighboring nations. After assuming office, he initiated talks with India on flood issues and aims to revive Saarc. Yunus announced reforms in six key sectors to enhance democracy and enable the expression of untapped talents within the country.",2024-09-11
Mosque row: Himachal tense as protesters clash with police,https://timesofindia.indiatimes.com/india/will-be-demolished-if-himachal-ministers-assurance-amid-shimla-mosque-row/articleshow/113260966.cms,"In Himachal Pradesh's Sanjauli, protests broke out over an allegedly illegal mosque construction pending since 2010. The Shimla Municipal Corporation's slow pace has angered locals, leading to clashes with police involving lathi-charge and water cannons. Minister Vikramaditya Singh assured that action will be taken based on legal findings, including potential demolition if deemed illegal.",2024-09-11
‘3 versus 1’: Why Republicans think Harris vs Trump debate was fixed,https://timesofindia.indiatimes.com/world/us/3-versus-1-why-republicans-think-harris-vs-trump-debate-was-fixed/articleshow/113267477.cms,"The recent debate between Donald Trump and Kamala Harris has stirred controversy among Republicans, who claim the moderators were biased. They argue that Trump faced unfair scrutiny while Harris was treated leniently. This has led to accusations of an uneven debate, with Republicans feeling the moderators missed opportunities to challenge Harris on key issues.",2024-09-11
Watch: 'Craze of King Babar Azam',https://timesofindia.indiatimes.com/sports/cricket/news/craze-of-king-babar-azam-fans-daring-selfie-experience-steals-the-show-watch/articleshow/113266629.cms,"Pakistan's white-ball captain Babar Azam recently showcased his humility during a training session for the Champions One-Day 2024. A fan bypassed security to meet him, and Babar responded warmly, inviting the fan for a chat and photo. This interaction, captured in a viral video, has added excitement to the upcoming tournament.",2024-09-11
